"Description Product ID","Part Number","Key Feature Product ID","Part Number"
29805,1326AB-B515E-21ML,65085,1326-CPB1-015
29766,1326AB-B515E-21-TJB,65083,1326-CCUT-L-090
29789,1326AB-B515E-21-X93,65080,1326-CCUT-L-005
29774,1326AB-B515E-S2K5L,65079,1326-CPB1T-L-030
59539,1326AB-B515F-21-K5,65078,1326-CPB1T-L-015
59525,1326AB-B515G-21K5,65068,1326AB-MOD-M40
29727,1326AB-B515G-21-K5,65082,1326-CCUT-L-060
59532,1326AB-B515G-21-L,65081,1326-CCUT-L-030
59543,1326AB-B515G-21-ML,65067,1326AB-C3E-11-A7
29764,1326AB-B515G-21-TJB,64954,1326AB-B420H-21-K4L
29811,1326AB-B515G-S2L,64956,1326AB-B420H-M2L
29804,1326AB-B515G-S2LS,64957,1326AB-B420H-S2L
29736,1326AB-B520E-21,64958,1326AB-B430E-M2L
29806,1326AB-B520E-21-K5,64959,1326AB-B4E-11-A5
59531,1326AB-B520E-21-L,64960,1326AB-B430E-S2K4L
65026,1326AB-B520E-M2K5LS,64962,1326AB-B420H-M2K4L
65020,1326AB-B520E-M2L,64963,1326AB-B420H-S2K4L
29738,1326AB-B520F-21,64964,1326AB-B515E-21-X51
29724,1326AB-B520F-21-K5,64965,1326AB-B430E-M2K4LS
59530,1326AB-B520F-21-L,64966,1326AB-B420E-M2L
29767,1326AB-B520F-21-TJB,64967,1326AB-B410G-21-K4L
29802,1326AB-B520F-M2LS,64968,1326AB-B2E-21-A5
29745,1326AB-B530E-21,64969,1326AB-B420E-21
29801,1326AB-B530E-21-K5,64970,1326AB-B3E-11
29762,1326AB-B530E-21-K5L,64971,1326AB-B3E-11-A5
29732,1326AB-B530E-21-L,64972,1326AB-A530E-21
59542,1326AB-B530E-21MK5,64973,1326AB-A520E-21
59538,1326AB-B530E-21-ML,64974,1326AB-A430E-21
59536,1326AB-B530E-21-SL,64976,1326AB-B720F-21
29768,1326AB-B530E-21-X05,64977,1326AB-B720F-M2K7L
29769,1326AB-B530E-21-X07,64978,1326AB-B2E-11-2287B
29770,1326AB-B530E-21-X30,64984,1326AB-B720F-S2K7L
29793,1326AB-B530E-21-X93,64985,1326AB-B720F-S2L
29794,1326AB-B530E-21-Z06,64987,1326AB-A2E-11-2287B
29715,1326AB-B530E-21-Z13,64988,1326AB-A2E-11-A4
65018,1326AB-B530E-M2K5L,64990,1326AB-A3E-21-A4
29788,1326AB-B530EM2L,64991,1326AB-A410G-21
65025,1326AB-B530E-S2K5LS,64995,1326AB-B730E-21-A
29731,1326AB-B530E-S2L,64997,1326AB-B730E-M2K7L
65022,1326AB-B530E-S2LS,65003,1326AB-B515E-M2L
29716,1326AB-B530E-X-167,65005,1326AB-B515G-M2K5L
29748,1326AB-B530F-21,65006,1326AB-B515E-S2L
29746,1326AB-B720E-21,65007,1326AB-B515E-M2K5L
29803,1326AB-B720E-21-K7,65013,1326AB-B740C-21-K7L
29773,1326AB-B720E-21-K7L,65014,1326AB-B740C-S2L
59528,1326AB-B720E-21-L,65015,1326AB-B730E-M2LS
59549,1326AB-B720E-21-MK7,65016,1326AB-B730E-S2LS
29725,1326AB-B720E-21-ML,65021,1326AB-B720E-21-Z15
65017,1326AB-B720E-M2K7L,65023,1326AB-B720E-S2L
65019,1326AB-B720E-M2K7LS,65024,1326AB-B530E-S2K5L
63657,1326AB-B720E-M2L,65185,1389-AA09
29723,1326AB-B720F-21K7,65186,1389-AA045
59537,1326AB-B720F-21-K7,65339,1389-AA17
29837,1326AB-B721,65349,1389-PAT10
29830,1326AB-B72EM2L,65359,1389-PAT10HR
29744,1326AB-B730E-21,70953,1326AB-C2C-11
59547,1326AB-B730E-21-K7,51749,1336-B003-EAD-FA7
29775,1326ABB730E-21-K7L,51760,1336-B003-EOD-L2
29733,1326AB-B730E-21-L,51763,1336-B003-EJD-L2
59541,1326AB-B730E-21MK7,51764,1336-B003-EJD-L3
29776,1326AB-B730E-21MK7L,51765,1336-B003-EJD-S1
29771,1326AB-B730E-21-X05,51766,1336-B003-EJD-RP1
63658,1326AB-B730E-M2L,51767,1336-B003-EJD-L3-S1
29808,1326AB-B740C-21-K7,51773,1336-B003-ECD-L3-S1
59529,1326AB-B740C-21-L,51795,1336-B005-ECD-FA2-L3
59550,1326AB-B740C-21-MK7,51796,1336-B005-ECD-FC3-L1
29728,1326AB-B740C-21-ML,51797,1336-B005-ECD-FC3-L3
59540,1326AB-B740E-21-K7,51813,1336-B007-EOD-FA2-L2
63659,1326AB-B740E-M2L,51814,1336-B007-EOD-L2
29791,1326AB-BB7-20E2-1K7,51817,1336-B007-ECD-FA2-L3
29819,1326AB-C2C11K7,51819,1336-B007-EJD-FA2-S1
29833,1326AB-C2C-21,51821,1336-B007-E0D-L2
29714,1326AB-C2C-21-4888A,51828,1336-B010-EAD-L1
29781,1326AB-C2E-11-2287B,51839,1336-B010-EOD-S1
29782,1326AB-C2E-11-3396D,51842,1336-B010-E0E
29832,1326AB-C2E-A7,51843,1336-B010-E0E-L1
29751,1326-ABC2F-11,51858,1336-B020-E0E-L3
29756,1326AB-C3E-11,51859,1336-B020-E0E-FA2-L3-S1
29783,1326AB-C3E-11-33960,51860,1336-B020-E0E-FA2-S1
29784,1326AB-C3E-113-396D,51870,1336-B020-EAE-L3-S1
29785,1326AB-C3E-113-396E,51871,1336-B020-ECE-FA2
29747,1326AB-C3E-11-K7,51876,1336-B025-EAF-L3-S1
29750,1326AB-C4B21,51878,1336-B025-EOF-L3
29786,1326AB-C4C-112-287B,51881,1336-B025-EOF-L1-S1
29753,1326AB-C4C-21,51887,1336-B030-E0F-L3
29818,1326AB-R2F-11-A5,51888,1336-B030-E0F-L3-S1
29853,1326AS-B310H-21-K3,51894,1336-B030-EAF-S1-HJP-L1
29865,1326AS-B31OH-21,51895,1336-B030-EAF-L3-S1
29847,1326AS-B330H-21,51897,1336-B030-ECF-FC3-L3-S1
29850,1326AS-B330H-21-394,51904,1336-B040-E0G-FA2
29861,1326AS-B330H-21-A,51906,1336-B050-E0G-L3
29838,1326AS-B330H-21-K3,51907,1336-B050-E0G-S1
29862,1326AS-B33OH-21,51908,1336-B050-E0G-FA2
29863,1326AS-B360F-21,51910,1336-B050-EAG-S1
29845,1326AS-B360Z-21,51912,1336-B050-EAG-L1
29846,1326AS-B420G-21,51913,1336-B050-EAG-L3
29858,1326AS-B420G-21-A,51914,1336-B050-EAG-FA2-L2-S1
29855,1326AS-B420G-21-K4,51915,1336-B050-EAG-FA2-L3-S1
29848,1326AS-B440G-21,51916,1336-B050-ECG
29859,1326AS-B440G-21-A,51917,1336-B050-ECG-L3
29839,1326AS-B440G-21-K4,51918,1336-B075-E0H
29849,1326AS-B460F-21,51919,1336-B075-E0H-L3
29840,1326AS-B460F-21-K4,51920,1336-B075-E0H-L3-S1
29864,1326AS-B515E-21,51921,1336-B075-E0H-FA2-L3-S1
29842,1326AS-B630F-21-K6,51922,1336-B075-EAH
29844,1326AS-B660E-21,51923,1336-B075-EAH-FA2-L3
29860,1326AS-B660E-21-A,51924,1336-B075-EAH-FA2-L3-S1
29852,1326AS-B660E-21-K6,51925,1336-B100-EAH
29841,1326AS-B660F-21-K6,51926,1336-B100-EAH-L3
29867,1326AS-B690E-21,51927,1336-B100-E0H
29843,1326AS-B690E-21-K6,51928,1336-B100-E0H-L3-S1
51736,1336-B003-EAD,51929,1336-B100-E0H-FA2-L3
51742,1336-B003-EAD-FA2,51930,1336-B100-E0H-FA2-L3-S1
51743,1336-B003-EAD-FA2-L1,51931,1336-B100-E0H-L3
51747,1336-B003-EAD-FA2-L1-S1,51932,1336-B100-E0H-S1
51744,1336-B003-EAD-FA2-L2,51933,1336-B125-E0H
51745,1336-B003-EAD-FA2-L3,51934,1336-B125-E0H-FA2
51748,1336-B003-EAD-FA2-L3-S1,51935,1336-B150-E0J
51746,1336-B003-EAD-FA2-S1,51936,1336-B150-E0J-FA2-L3-S1
51737,1336-B003-EAD-L1,51937,1336-B200-E0J
51738,1336-B003-EAD-L2,51938,1336-C003-EAD
51739,1336-B003-EAD-L3,51939,1336-C003-EAD-S1
51741,1336-B003-EAD-L3-S1,51940,1336-C003-EAD-FA2
51740,1336-B003-EAD-S1,51941,1336-C003-EAD-FA2-L3
51769,1336-B003-ECD,51942,1336-C003-EAD-L3-RP2
51772,1336-B003-ECD-FC3-L3,51943,1336-C003-EAD-L3
51770,1336-B003-ECD-L3,51944,1336-C003-E0D
51771,1336-B003-ECD-S1,51945,1336-C003-EJD
51761,1336-B003-EJD,51946,1336-C003-EJD-R54
51762,1336-B003-EJD-L1,51947,1336-C005-EAD
51768,1336-B003-EJD-RP3,51948,1336-C005-EAD-S1
51750,1336-B003-EOD,51949,1336-C005-EAD-FA2
51758,1336-B003-EOD-FA2,51950,1336-C005-EAD-L3-S1
51754,1336-B003-EOD-FA2-L1,51951,1336-C005-E0D
51755,1336-B003-EOD-FA2-L3,51952,1336-C005-E0D-FA2
51756,1336-B003-EOD-FA2-L3-S1,51953,1336-C005-E0D-L2
51759,1336-B003-EOD-FA2-S1,51954,1336-C007-EAD
51751,1336-B003-EOD-L1,51955,1336-C007-EAD-FA2
51757,1336-B003-EOD-L3,51956,1336-C010-EAD
51753,1336-B003-EOD-L3-S1,51957,1336-C010-EAD-FA2
51752,1336-B003-EOD-S1,51958,1336-C010-EAD-S1
51782,1336-B005-EAD,51959,1336-C015-E0E
51785,1336-B005-EAD-FA2,51960,1336-C015-E0E-L3
51787,1336-B005-EAD-FA2-L1,51961,1336-C015-EAE
51790,1336-B005-EAD-FA2-L1-S1,51962,1336-C015-EAE-S1
51788,1336-B005-EAD-FA2-L3,51963,1336-C015-EAE-L3-S1
51789,1336-B005-EAD-FA2-S1,51964,1336-C015-EAD
51792,1336-B005-EAD-L1-S1,51965,1336-C015-EAD-L3-S1
