"Product Number",MPN,Series,Manufacturer,"Product Type","Terminal Type","Contactor Amperage","Control Voltage","Control Frequency","Auxiliary Contacts","Main Poles",Options
100-C-09-D-10,100-C09D10-16,"MCS-C Non-Reversing Contactor","Allen Bradley","Compact Frame IEC Contactor",Standard,9A,"110V AC 50Hz, 120V AC 60Hz","50, 60Hz","1 N.O. 0 N.C.",3
100-C-09-D-10,100-C09D10-16-X3,"MCS-C Non-Reversing Contactor","Allen Bradley","Compact Frame IEC Contactor",Standard,9A,"110V AC 50Hz, 120V AC 60Hz","50, 60Hz","1 N.O. 0 N.C.",3
100-C-09-D-10,100-C09D10-16-X3M,"MCS-C Non-Reversing Contactor","Allen Bradley","Compact Frame IEC Contactor",Standard,9A,"110V AC 50Hz, 120V AC 60Hz","50, 60Hz","1 N.O. 0 N.C.",3
100-C-09-D-10-M,100-C09D10M,"MCS-C Non-Reversing Contactor","Allen Bradley","Compact Frame IEC Contactor",Standard,9A,"110V AC 50Hz, 120V AC 60Hz","50, 60Hz","1 N.O. 0 N.C.",3
100-C-09-D-200,100-C09D200,"MCS-C Non-Reversing Contactor","Allen Bradley","Compact Frame IEC Contactor",Standard,9A,"110V AC 50Hz, 120V AC 60Hz","50, 60Hz","0 N.O. 0 N.C.","2 N.O. 2 N.C."
100-C-09-D-200-M,100-C09D200M,"MCS-C Non-Reversing Contactor","Allen Bradley","Compact Frame IEC Contactor",Standard,9A,"110V AC 50Hz, 120V AC 60Hz","50, 60Hz","0 N.O. 0 N.C.","2 N.O. 2 N.C."
100-C-09-D-300,100-C09D300,"MCS-C Non-Reversing Contactor","Allen Bradley","Compact Frame IEC Contactor",Standard,9A,"110V AC 50Hz, 120V AC 60Hz","50, 60Hz","0 N.O. 0 N.C.","3 N.O. 1 N.C."
100-C-09-D-300-M,100-C09D300M,"MCS-C Non-Reversing Contactor","Allen Bradley","Compact Frame IEC Contactor",Standard,9A,"110V AC 50Hz, 120V AC 60Hz","50, 60Hz","0 N.O. 0 N.C.","3 N.O. 1 N.C."
100-C-09-D-400,100-C09D400,"MCS-C Non-Reversing Contactor","Allen Bradley","Compact Frame IEC Contactor",Standard,9A,"110V AC 50Hz, 120V AC 60Hz","50, 60Hz","0 N.O. 0 N.C.","4 N.O. 0 N.C."
100-C-09-DJ-01,100-C09DJ01,"MCS-C Non-Reversing Contactor","Allen Bradley","Compact Frame IEC Contactor",Standard,9A,"24V DC",-,"0 N.O. 1 N.C.",3
100-C-09-DJ-10,100-C09DJ10,"MCS-C Non-Reversing Contactor","Allen Bradley","Compact Frame IEC Contactor",Standard,9A,"24V DC",-,"1 N.O. 0 N.C.",3
100-C-09-DJ-200,100-C09DJ200,"MCS-C Non-Reversing Contactor","Allen Bradley","Compact Frame IEC Contactor",Standard,9A,"24V DC",-,"0 N.O. 0 N.C.","2 N.O. 2 N.C."
100-C-09-DJ-300,100-C09DJ300,"MCS-C Non-Reversing Contactor","Allen Bradley","Compact Frame IEC Contactor",Standard,9A,"24V DC",-,"0 N.O. 0 N.C.","3 N.O. 1 N.C."
100-C-09-DJ-32,100-C09DJ32,"MCS-C Non-Reversing Contactor","Allen Bradley","Compact Frame IEC Contactor",Standard,9A,"24V DC",-,-,-
100-C-09-DJ-400,100-C09DJ400,"MCS-C Non-Reversing Contactor","Allen Bradley","Compact Frame IEC Contactor",Standard,9A,"24V DC",-,"0 N.O. 0 N.C.","4 N.O. 0 N.C."
100-C-09-E-01,100-C09E01,"MCS-C Non-Reversing Contactor","Allen Bradley","Compact Frame IEC Contactor",Standard,9A,"380V 60Hz",60Hz,"0 N.O. 1 N.C.",3
100-C-09-E-10,100-C09E10,"MCS-C Non-Reversing Contactor","Allen Bradley","Compact Frame IEC Contactor",Standard,9A,"380V 60Hz",60Hz,"1 N.O. 0 N.C.",3
100-C-09-E-400,100-C09E400,"MCS-C Non-Reversing Contactor","Allen Bradley","Compact Frame IEC Contactor",Standard,9A,"380V 60Hz",60Hz,"0 N.O. 0 N.C.","4 N.O. 0 N.C."
